sentence_id,text,label,split,source_dataset,source_config
banking77-train-0,I am still waiting on my card?,11,train,banking77,default
banking77-train-1,What can I do if my card still hasn't arrived after 2 weeks?,11,train,banking77,default
banking77-train-2,I have been waiting over a week. Is the card still coming?,11,train,banking77,default
banking77-train-3,Can I track my card while it is in the process of delivery?,11,train,banking77,default
banking77-train-4,"How do I know if I will get my card, or if it is lost?",11,train,banking77,default
banking77-train-5,When did you send me my new card?,11,train,banking77,default
banking77-train-6,Do you have info about the card on delivery?,11,train,banking77,default
banking77-train-7,What do I do if I still have not received my new card?,11,train,banking77,default
banking77-train-8,Does the package with my card have tracking?,11,train,banking77,default
banking77-train-9,I ordered my card but it still isn't here,11,train,banking77,default
banking77-train-10,Why has my new card still not come?,11,train,banking77,default
banking77-train-11,"I still haven't received my card after two weeks, is it lost?",11,train,banking77,default
banking77-train-12,Can you track my card for me?,11,train,banking77,default
banking77-train-13,Is there a way to track the delivery of my card?,11,train,banking77,default
banking77-train-14,It's been a week since I ordered my card and it's not here. Please help?,11,train,banking77,default
banking77-train-15,Will I be able to track the card that was sent to me?,11,train,banking77,default
banking77-train-16,I don't have my card in 1 week.  Should I be worried?,11,train,banking77,default
banking77-train-17,How do I know when my new card is going to arrive?,11,train,banking77,default
banking77-train-18,My new card has not been delivered to my home yet. What is going on?,11,train,banking77,default
banking77-train-19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11,train,banking77,default
banking77-train-20,"On the card that is coming, what's the tracking info?",11,train,banking77,default
banking77-train-21,What is the status of my card's delivery?,11,train,banking77,default
banking77-train-22,Have you sent out my card yet?,11,train,banking77,default
banking77-train-23,My card isn't here yet.,11,train,banking77,default
banking77-train-24,where is my new card?,11,train,banking77,default
banking77-train-25,It's been a week since you sent my card and I still don't have it.,11,train,banking77,default
banking77-train-26,How do I track the card you sent me?,11,train,banking77,default
banking77-train-27,When will I recieve my new card?,11,train,banking77,default
banking77-train-28,When will I get my new card?,11,train,banking77,default
banking77-train-29,What is the expected delivery date for my card?,11,train,banking77,default
banking77-train-30,Is there a tracking number for the card you sent me?,11,train,banking77,default
banking77-train-31,I would like to track the card you sent to me.,11,train,banking77,default
banking77-train-32,Has my card been lost in delivery?,11,train,banking77,default
banking77-train-33,My new card hasn't came in.,11,train,banking77,default
banking77-train-34,Where is the card I ordered 2 weeks ago?,11,train,banking77,default
banking77-train-35,Can I get an update on my replacement card?,11,train,banking77,default
