sentence_id,text,label,split,source_dataset,source_config,locale,partition,scenario
massive-train-0,wake me up at nine am on friday,48,train,massive,en-US,en-US,train,16
massive-train-1,set an alarm for two hours from now,48,train,massive,en-US,en-US,train,16
massive-train-2,olly quiet,46,train,massive,en-US,en-US,train,10
massive-train-3,stop,46,train,massive,en-US,en-US,train,10
massive-train-4,olly pause for ten seconds,46,train,massive,en-US,en-US,train,10
massive-train-5,pause for ten seconds,46,train,massive,en-US,en-US,train,10
massive-train-6,make the lighting bit more warm here,1,train,massive,en-US,en-US,train,8
massive-train-7,please set the lighting suitable for reading,1,train,massive,en-US,en-US,train,8
massive-train-8,time to sleep,40,train,massive,en-US,en-US,train,8
massive-train-9,time to sleep olly,40,train,massive,en-US,en-US,train,8
massive-train-10,turn off the light in the bathroom,40,train,massive,en-US,en-US,train,8
massive-train-11,olly dim the lights in the hall,31,train,massive,en-US,en-US,train,8
massive-train-12,turn the lights off in the bedroom,40,train,massive,en-US,en-US,train,8
massive-train-13,set lights to twenty percent,1,train,massive,en-US,en-US,train,8
massive-train-14,olly set lights to twenty percent,1,train,massive,en-US,en-US,train,8
massive-train-15,dim the lights in the kitchen olly,31,train,massive,en-US,en-US,train,8
massive-train-16,dim the lights in the kitchen,31,train,massive,en-US,en-US,train,8
massive-train-17,olly clean the flat,34,train,massive,en-US,en-US,train,8
massive-train-18,vacuum the house,34,train,massive,en-US,en-US,train,8
massive-train-19,vacuum the house olly,34,train,massive,en-US,en-US,train,8
massive-train-20,hoover the carpets around,34,train,massive,en-US,en-US,train,8
massive-train-21,check when the show starts,32,train,massive,en-US,en-US,train,2
massive-train-22,i want to listen arijit singh song once again,45,train,massive,en-US,en-US,train,3
massive-train-23,i want to play that music one again,45,train,massive,en-US,en-US,train,3
massive-train-24,check my car is ready,12,train,massive,en-US,en-US,train,9
massive-train-25,check my laptop is working,12,train,massive,en-US,en-US,train,9
massive-train-26,is the brightness of my screen running low,12,train,massive,en-US,en-US,train,9
massive-train-27,i need to have location services on can you check,12,train,massive,en-US,en-US,train,9
massive-train-28,check the status of my power usage,12,train,massive,en-US,en-US,train,9
massive-train-29,i am not tired i am actually happy,12,train,massive,en-US,en-US,train,9
massive-train-30,olly i am not tired i am actually happy,12,train,massive,en-US,en-US,train,9
massive-train-31,what's up,5,train,massive,en-US,en-US,train,9
massive-train-32,tell me the time in moscow,0,train,massive,en-US,en-US,train,5
massive-train-33,tell me the time in g. m. t. plus five,38,train,massive,en-US,en-US,train,5
massive-train-34,olly list most rated delivery options for chinese food,3,train,massive,en-US,en-US,train,14
massive-train-35,most rated delivery options for chinese food,3,train,massive,en-US,en-US,train,14
massive-train-36,olly most rated delivery options for chinese food,3,train,massive,en-US,en-US,train,14
massive-train-37,i want some curry to go any recommendations,3,train,massive,en-US,en-US,train,14
massive-train-38,i want some curry to go any recommendations olly,3,train,massive,en-US,en-US,train,14
massive-train-39,find my thai takeaways around grassmarket,3,train,massive,en-US,en-US,train,14
massive-train-40,stop seven am alarm,52,train,massive,en-US,en-US,train,16
massive-train-41,please list active alarms,23,train,massive,en-US,en-US,train,16
massive-train-42,what's happening in football today,22,train,massive,en-US,en-US,train,4
massive-train-43,please play yesterday from beatles,45,train,massive,en-US,en-US,train,3
massive-train-44,i like rock music,43,train,massive,en-US,en-US,train,15
massive-train-45,my favorite music band is queen,43,train,massive,en-US,en-US,train,15
massive-train-46,start playing music from favorites,45,train,massive,en-US,en-US,train,3
massive-train-47,please play my best music,45,train,massive,en-US,en-US,train,3
massive-train-48,who's current music's author,57,train,massive,en-US,en-US,train,15
massive-train-49,what's that the album is current music from,57,train,massive,en-US,en-US,train,15
massive-train-50,olly i'm really enjoying this song,43,train,massive,en-US,en-US,train,15
massive-train-51,the song you are playing is amazing,43,train,massive,en-US,en-US,train,15
massive-train-52,this is one of the best songs for me,43,train,massive,en-US,en-US,train,15
massive-train-53,make lights brightener,18,train,massive,en-US,en-US,train,8
massive-train-54,please raise the lights to max,18,train,massive,en-US,en-US,train,8
massive-train-55,hey start vacuum cleaner robot,34,train,massive,en-US,en-US,train,8
massive-train-56,turn cleaner robot on,34,train,massive,en-US,en-US,train,8
massive-train-57,please order some sushi for dinner,16,train,massive,en-US,en-US,train,14
massive-train-58,hey i'd like you to order burger,16,train,massive,en-US,en-US,train,14
massive-train-59,can i order takeaway dinner from byron's,16,train,massive,en-US,en-US,train,14
massive-train-60,does byron's supports takeaways,3,train,massive,en-US,en-US,train,14
massive-train-61,set an alarm for twelve,48,train,massive,en-US,en-US,train,16
massive-train-62,set an alarm forty minutes from now,48,train,massive,en-US,en-US,train,16
massive-train-63,set alarm for eight every weekday,48,train,massive,en-US,en-US,train,16
massive-train-64,is it raining,13,train,massive,en-US,en-US,train,17
massive-train-65,is it going to rain,13,train,massive,en-US,en-US,train,17
massive-train-66,is it currently snowing,13,train,massive,en-US,en-US,train,17
massive-train-67,what's this weeks weather,13,train,massive,en-US,en-US,train,17
massive-train-68,tell me b. b. c. news,22,train,massive,en-US,en-US,train,4
massive-train-69,what's the news on b. b. c. news,22,train,massive,en-US,en-US,train,4
massive-train-70,what is the b. b. c.'s latest news,22,train,massive,en-US,en-US,train,4
massive-train-71,play a song i like,45,train,massive,en-US,en-US,train,3
massive-train-72,play daft punk,45,train,massive,en-US,en-US,train,3
massive-train-73,put on some coldplay,45,train,massive,en-US,en-US,train,3
massive-train-74,shuffle this playlist,28,train,massive,en-US,en-US,train,15
massive-train-75,what's playing,57,train,massive,en-US,en-US,train,15
massive-train-76,what music is this,57,train,massive,en-US,en-US,train,15
massive-train-77,tell me the artist of this song,57,train,massive,en-US,en-US,train,15
massive-train-78,make me laugh,25,train,massive,en-US,en-US,train,9
massive-train-79,olly make me laugh,25,train,massive,en-US,en-US,train,9
massive-train-80,tell me a good joke,25,train,massive,en-US,en-US,train,9
massive-train-81,tell me a joke,25,train,massive,en-US,en-US,train,9
massive-train-82,alexa tell me a joke,25,train,massive,en-US,en-US,train,9
massive-train-83,cheer me up,25,train,massive,en-US,en-US,train,9
massive-train-84,tell me about today,12,train,massive,en-US,en-US,train,9
massive-train-85,order a pizza,16,train,massive,en-US,en-US,train,14
massive-train-86,order me a byron from deliveroo,16,train,massive,en-US,en-US,train,14
massive-train-87,when is my order arriving,3,train,massive,en-US,en-US,train,14
massive-train-88,how long until my takeaway,3,train,massive,en-US,en-US,train,14
massive-train-89,domino's delivery status,3,train,massive,en-US,en-US,train,14
massive-train-90,what's playing,57,train,massive,en-US,en-US,train,15
massive-train-91,tell me the name of the song,57,train,massive,en-US,en-US,train,15
massive-train-92,play my jazz playlist,45,train,massive,en-US,en-US,train,3
massive-train-93,start my jazz playlist,45,train,massive,en-US,en-US,train,3
massive-train-94,play my favorite playlist,45,train,massive,en-US,en-US,train,3
massive-train-95,that's a good song,43,train,massive,en-US,en-US,train,15
massive-train-96,i don't like it,7,train,massive,en-US,en-US,train,15
massive-train-97,i like it,43,train,massive,en-US,en-US,train,15
massive-train-98,i like jazz,43,train,massive,en-US,en-US,train,15
massive-train-99,can you play some jazz,45,train,massive,en-US,en-US,train,3
massive-train-100,this song was very good,43,train,massive,en-US,en-US,train,15
massive-train-101,change the volume,29,train,massive,en-US,en-US,train,10
massive-train-102,enable shuffle,28,train,massive,en-US,en-US,train,15
massive-train-103,save settings,28,train,massive,en-US,en-US,train,15
massive-train-104,set brightness to fifty percent,1,train,massive,en-US,en-US,train,8
massive-train-105,turn down the brightness,31,train,massive,en-US,en-US,train,8
massive-train-106,reduce the brightness,31,train,massive,en-US,en-US,train,8
massive-train-107,decrease brightness,31,train,massive,en-US,en-US,train,8
massive-train-108,dim the lights,31,train,massive,en-US,en-US,train,8
massive-train-109,olly dim the lights,31,train,massive,en-US,en-US,train,8
massive-train-110,make me a coffee,56,train,massive,en-US,en-US,train,8
massive-train-111,olly make me a coffee,56,train,massive,en-US,en-US,train,8
massive-train-112,i need a coffee,56,train,massive,en-US,en-US,train,8
massive-train-113,i fancy some coffee now,56,train,massive,en-US,en-US,train,8
massive-train-114,how are you,5,train,massive,en-US,en-US,train,9
massive-train-115,set alarm at ten am,48,train,massive,en-US,en-US,train,16
massive-train-116,tell me the latest technology news,22,train,massive,en-US,en-US,train,4
massive-train-117,tell me latest technology news,22,train,massive,en-US,en-US,train,4
massive-train-118,tell me the weather,13,train,massive,en-US,en-US,train,17
massive-train-119,what is the weather now,13,train,massive,en-US,en-US,train,17
massive-train-120,is it raining now,13,train,massive,en-US,en-US,train,17
massive-train-121,turn on my michael jackson playlist,45,train,massive,en-US,en-US,train,3
massive-train-122,play michael jackson from my playlist,45,train,massive,en-US,en-US,train,3
massive-train-123,play last song from my favorite playlist,45,train,massive,en-US,en-US,train,3
massive-train-124,turn up the volume,14,train,massive,en-US,en-US,train,10
massive-train-125,turn on the plug,24,train,massive,en-US,en-US,train,8
massive-train-126,switch on the plug,24,train,massive,en-US,en-US,train,8
massive-train-127,turn on my plug,24,train,massive,en-US,en-US,train,8
massive-train-128,tell me some joke,25,train,massive,en-US,en-US,train,9
massive-train-129,do you know any joke,25,train,massive,en-US,en-US,train,9
massive-train-130,what is the time,0,train,massive,en-US,en-US,train,5
massive-train-131,tell me the time,0,train,massive,en-US,en-US,train,5
massive-train-132,does dominoes do takeaway,3,train,massive,en-US,en-US,train,14
massive-train-133,does my favorite pizza place available for takeaway,3,train,massive,en-US,en-US,train,14
massive-train-134,can i order takeaway from spanish place,16,train,massive,en-US,en-US,train,14
massive-train-135,remove the alarm,52,train,massive,en-US,en-US,train,16
massive-train-136,show me the alarms i set,23,train,massive,en-US,en-US,train,16
massive-train-137,do i have any alarms,23,train,massive,en-US,en-US,train,16
massive-train-138,show alarms,23,train,massive,en-US,en-US,train,16
massive-train-139,how's the weather like in beijing,13,train,massive,en-US,en-US,train,17
massive-train-140,tell me the weather in shanghai,13,train,massive,en-US,en-US,train,17
massive-train-141,please make the lights reading friendly,1,train,massive,en-US,en-US,train,8
massive-train-142,please make the lights watching friendly,1,train,massive,en-US,en-US,train,8
massive-train-143,make the room brighter,18,train,massive,en-US,en-US,train,8
massive-train-144,and the light began,41,train,massive,en-US,en-US,train,8
massive-train-145,what's date today,0,train,massive,en-US,en-US,train,5
massive-train-146,what day is today,0,train,massive,en-US,en-US,train,5
massive-train-147,tell me a date,0,train,massive,en-US,en-US,train,5
massive-train-148,is it raining outside olly,13,train,massive,en-US,en-US,train,17
massive-train-149,change the lights into green,1,train,massive,en-US,en-US,train,8
massive-train-150,add this song to my favorite list,43,train,massive,en-US,en-US,train,15
massive-train-151,what is this song,57,train,massive,en-US,en-US,train,15
massive-train-152,olly lights off,40,train,massive,en-US,en-US,train,8
massive-train-153,lights off,40,train,massive,en-US,en-US,train,8
massive-train-154,clean the floor please,34,train,massive,en-US,en-US,train,8
massive-train-155,turn on the rice cooker socket,24,train,massive,en-US,en-US,train,8
massive-train-156,turn off the rice cooker socket,8,train,massive,en-US,en-US,train,8
massive-train-157,could you please help me to order some sushi from deliveroo,16,train,massive,en-US,en-US,train,14
massive-train-158,set an alarm for four in the afternoon,48,train,massive,en-US,en-US,train,16
massive-train-159,olly alert me at three p. m. to go to the concert,48,train,massive,en-US,en-US,train,16
massive-train-160,alert me at three p. m. to go to the concert,48,train,massive,en-US,en-US,train,16
massive-train-161,do i have an alarm set for morning flight,23,train,massive,en-US,en-US,train,16
massive-train-162,are there any alarms,23,train,massive,en-US,en-US,train,16
massive-train-163,is it raining in barcelona,13,train,massive,en-US,en-US,train,17
massive-train-164,will it rain today,13,train,massive,en-US,en-US,train,17
massive-train-165,what's going on outside,13,train,massive,en-US,en-US,train,17
massive-train-166,what's going on in the world,22,train,massive,en-US,en-US,train,4
